"","KO_id","average_RP","sd_RP","average_RS","sd_RS","diff_mean","Highest","p.value","p.adjust","sign","type","origin_p.value","origin_p.adjust","Z_score","Significantly","gene","Description"
"32","K00035",328.705832058824,62.1601418326564,126.550399,28.7407670837852,-202.155433058824,"RP",4.28521312391771e-10,5.37997560083099e-09,-1,"Depleted",8.57042624783542e-10,1.0759951201662e-08,-5.71829296656914,"Depleted","gal","D-galactose 1-dehydrogenase  [EC:1.1.1.48] "
"33","K00036",8850.01874417646,1446.96918544507,7184.05741935294,945.994048749161,-1665.96132482352,"RP",0.000106826077966145,0.000239781129513867,-1,"Depleted",0.000213652155932289,0.000479562259027733,-3.49191977602538,"Depleted","G6PD, zwf","glucose-6-phosphate 1-dehydrogenase  [EC:1.1.1.49 1.1.1.363] "
"34","K00038",2002.65277141176,341.990014045465,1443.14213658824,266.718173609341,-559.510634823528,"RP",4.86714506614574e-06,1.40629773449471e-05,-1,"Depleted",9.73429013229147e-06,2.81259546898942e-05,-4.18813230149126,"Depleted","E1.1.1.53","3alpha(or 20beta)-hydroxysteroid dehydrogenase  [EC:1.1.1.53] "
"35","K00039",232.825561117647,79.1505303784542,68.8483991764706,21.5311501036343,-163.977161941176,"RP",4.28521312391771e-10,5.37997560083099e-09,-1,"Depleted",8.57042624783542e-10,1.0759951201662e-08,-5.71829296656914,"Depleted","rbtD","ribitol 2-dehydrogenase  [EC:1.1.1.56] "
"36","K00040",950.036714882353,437.499107560901,256.615255,70.0834330886197,-693.421459882353,"RP",4.28521312391771e-10,5.37997560083099e-09,-1,"Depleted",8.57042624783542e-10,1.0759951201662e-08,-5.71829296656914,"Depleted","uxuB","fructuronate reductase  [EC:1.1.1.57] "
"37","K00041",720.638157764706,284.337701094515,336.188564294118,218.559979237042,-384.449593470588,"RP",3.08505348430208e-05,7.68817475634353e-05,-1,"Depleted",6.17010696860415e-05,0.000153763495126871,-3.78491116357131,"Depleted","uxaB","tagaturonate reductase  [EC:1.1.1.58] "
"38","K00042",2384.59422347059,466.792026937745,1418.77044847059,394.181581351898,-965.823774999999,"RP",8.35616559163953e-08,3.74008303804238e-07,-1,"Depleted",1.67123311832791e-07,7.48016607608476e-07,-4.94846337715738,"Depleted","garR, glxR","2-hydroxy-3-oxopropionate reductase  [EC:1.1.1.60] "
"39","K00043",567.877975058823,159.329441538411,377.588106352941,96.2133968292173,-190.289868705882,"RP",9.02534447307052e-05,0.000205260950993142,-1,"Depleted",0.00018050688946141,0.000410521901986283,-3.53322566206462,"Depleted","gbd","4-hydroxybutyrate dehydrogenase  [EC:1.1.1.61] "
"40","K00044",21.1504161764706,5.12304072164281,13.7187315294118,2.68043689950435,-7.43168464705882,"RP",6.07386108184096e-06,1.72149923317715e-05,-1,"Depleted",1.21477221636819e-05,3.44299846635429e-05,-4.14199367091906,"Depleted","HSD17B1","17beta-estradiol 17-dehydrogenase  [EC:1.1.1.62] "
"41","K00045",387.585259352941,95.7264161819246,211.965932764706,40.0875866941981,-175.619326588236,"RP",5.14225574870125e-09,3.43387460978165e-08,-1,"Depleted",1.02845114974025e-08,6.86774921956329e-08,-5.39459706842679,"Depleted","E1.1.1.67, mtlK","mannitol 2-dehydrogenase  [EC:1.1.1.67] "
