"Phylum","Label","Id","att1","att2","att3","att4","Class","Order","Family","Genus","Species","category","enrich","significant","color"
"Firmicutes","MAG_318",157,"MAG_318","Firmicutes",0.385999,"M2","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus safensis","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_074",36,"MAG_074","Firmicutes",0.005009,"M2","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus licheniformis","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_292",137,"MAG_292","Firmicutes",0.075276,"M2","Bacilli","Bacillales_G","Fictibacillaceae","Fictibacillus","Fictibacillus barbaricus","RP sig","RP","Y","#DECBE4"
"Firmicutes","MAG_146",71,"MAG_146","Firmicutes",0.229945,"M2","Bacilli","Bacillales_B","DSM-1321","Peribacillus","Peribacillus frigoritolerans","RP sig","RP","Y","#DECBE4"
"Gemmatimonadota","MAG_444",214,"MAG_444","Gemmatimonadota",0.037885,"M39","Gemmatimonadetes","Gemmatimonadales","GWC2-71-9","JACDDX01","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_412",203,"MAG_412","Gemmatimonadota",0.069011,"M5","Gemmatimonadetes","Gemmatimonadales","GWC2-71-9","Unassign","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_509",235,"MAG_509","Gemmatimonadota",0.22661,"M12","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","JABWBJ01","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_217",110,"MAG_217","Gemmatimonadota",0.037545,"M34","Gemmatimonadetes","Gemmatimonadales","GWC2-71-9","Unassign","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_347",167,"MAG_347","Gemmatimonadota",0.141947,"M5","Gemmatimonadetes","Gemmatimonadales","GWC2-71-9","Unassign","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_480",228,"MAG_480","Gemmatimonadota",0.051926,"M30","Gemmatimonadetes","Gemmatimonadales","GWC2-71-9","SZUA-320","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_421",208,"MAG_421","Gemmatimonadota",0.116653,"M5","Gemmatimonadetes","Gemmatimonadales","GWC2-71-9","Unassign","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_355",171,"MAG_355","Gemmatimonadota",0.035047,"M1","Gemmatimonadetes","Longimicrobiales","UBA6960","JAAXGI01","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_384",187,"MAG_384","Gemmatimonadota",0.103571,"M5","Gemmatimonadetes","Gemmatimonadales","GWC2-71-9","Unassign","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_568",264,"MAG_568","Gemmatimonadota",0.037387,"M12","Gemmatimonadetes","Gemmatimonadales","GWC2-71-9","Unassign","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_354",170,"MAG_354","Gemmatimonadota",0.045711,"M30","Gemmatimonadetes","Gemmatimonadales","GWC2-71-9","SZUA-320","Unassign","RS sig","RS","Y","#E6F5C9"
"Gemmatimonadota","MAG_551",257,"MAG_551","Gemmatimonadota",0.107433,"M12","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","JABWBJ01","Unassign","RS sig","RS","Y","#E6F5C9"
"Krumholzibacteriota","MAG_410",202,"MAG_410","Krumholzibacteriota",0.046501,"M1","Krumholzibacteria","WVZY01","Unassign","Unassign","Unassign","RS sig","RS","Y","#BEBADA"
"Methylomirabilota","MAG_201",101,"MAG_201","Methylomirabilota",0.880964,"M64","Methylomirabilia","Rokubacteriales","CSP1-6","AR12","Unassign","RS sig","RS","Y","#CBD5E8"
"Methylomirabilota","MAG_361",172,"MAG_361","Methylomirabilota",0.540914,"M12","Methylomirabilia","Rokubacteriales","CSP1-6","Unassign","Unassign","RS sig","RS","Y","#CBD5E8"
"Methylomirabilota","MAG_429",210,"MAG_429","Methylomirabilota",0.661172,"M64","Methylomirabilia","Rokubacteriales","CSP1-6","AR12","Unassign","RS sig","RS","Y","#CBD5E8"
"Myxococcota","MAG_563",261,"MAG_563","Myxococcota",0.234221,"M1","Polyangia","Haliangiales","Haliangiaceae","Unassign","Unassign","RS sig","RS","Y","#FED9A6"
"Myxococcota","MAG_585",271,"MAG_585","Myxococcota",0.135257,"M1","Polyangia","Nannocystales","Nannocystaceae","Unassign","Unassign","RS sig","RS","Y","#FED9A6"
"Myxococcota","MAG_026",10,"MAG_026","Myxococcota",0.023915,"M44","Polyangia","Polyangiales","Polyangiaceae","PMG-095","Unassign","RP","RP","N","#FED9A6"
"Myxococcota","MAG_143",70,"MAG_143","Myxococcota",0.184765,"M61","Polyangia","Polyangiales","Polyangiaceae","PMG-095","Unassign","RP sig","RP","Y","#FED9A6"
"Myxococcota","MAG_156",76,"MAG_156","Myxococcota",0.185359,"M61","Polyangia","Polyangiales","Polyangiaceae","PMG-095","Unassign","RP sig","RP","Y","#FED9A6"
"Myxococcota","MAG_057",22,"MAG_057","Myxococcota",0.175046,"M58","Polyangia","Polyangiales","Polyangiaceae","Unassign","Unassign","RP sig","RP","Y","#FED9A6"
"Myxococcota","MAG_019",7,"MAG_019","Myxococcota",0.182667,"M58","Polyangia","Polyangiales","Polyangiaceae","Unassign","Unassign","RP sig","RP","Y","#FED9A6"
"Myxococcota_A","MAG_383",186,"MAG_383","Myxococcota_A",0.150779,"M30","UBA9160","UBA9160","SMWR01","Unassign","Unassign","RS sig","RS","Y","#FFFFB3"
"Nitrospirota","MAG_280",128,"MAG_280","Nitrospirota",0.756903,"M36","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira_C","Unassign","RS sig","RS","Y","#F4CAE4"
"Nitrospirota","MAG_208",105,"MAG_208","Nitrospirota",0.73998,"M36","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira_C","Unassign","RS sig","RS","Y","#F4CAE4"
"Patescibacteria","MAG_154",75,"MAG_154","Patescibacteria",0.035414,"M20","Saccharimonadia","Saccharimonadales","UBA4665","PMNU01","Unassign","RP sig","RP","Y","#F2F2F2"
"Patescibacteria","MAG_190",93,"MAG_190","Patescibacteria",0.034725,"M20","Saccharimonadia","Saccharimonadales","UBA4665","Unassign","Unassign","RP sig","RP","Y","#F2F2F2"
"Patescibacteria","MAG_105",52,"MAG_105","Patescibacteria",0.003249,"M42","Saccharimonadia","Saccharimonadales","UBA4665","Unassign","Unassign","RP sig","RP","Y","#F2F2F2"
"Patescibacteria","MAG_106",53,"MAG_106","Patescibacteria",0.006847,"M28","Saccharimonadia","Saccharimonadales","EFPC-124","EFPC-124","Unassign","RP sig","RP","Y","#F2F2F2"
"Patescibacteria","MAG_380",183,"MAG_380","Patescibacteria",0.01515,"M28","Saccharimonadia","Saccharimonadales","EFPC-124","Unassign","Unassign","RP sig","RP","Y","#F2F2F2"
"Patescibacteria","MAG_003",2,"MAG_003","Patescibacteria",0.010056,"M50","Saccharimonadia","Saccharimonadales","UBA4665","PMNU01","Unassign","RP sig","RP","Y","#F2F2F2"
"Patescibacteria","MAG_041",29,"MAG_041","Patescibacteria",0.003927,"M28","Saccharimonadia","Saccharimonadales","EFPC-124","EFPC-124","Unassign","RP sig","RP","Y","#F2F2F2"
"Patescibacteria","MAG_135",65,"MAG_135","Patescibacteria",0.045395,"M20","Saccharimonadia","Saccharimonadales","UBA1547","Unassign","Unassign","RP sig","RP","Y","#F2F2F2"
"Patescibacteria","MAG_175",83,"MAG_175","Patescibacteria",0.029798,"M20","Saccharimonadia","Saccharimonadales","UBA4665","Unassign","Unassign","RP sig","RP","Y","#F2F2F2"
"Patescibacteria","MAG_189",92,"MAG_189","Patescibacteria",0.003755,"M42","Saccharimonadia","Saccharimonadales","UBA4665","PMNU01","Unassign","RP","RP","N","#F2F2F2"
"Planctomycetota","MAG_537",253,"MAG_537","Planctomycetota",0.039775,"M1","UBA1135","UBA1135","GCA-002686595","JABFRZ01","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_309",149,"MAG_309","Planctomycetota",0.79928,"M56","Planctomycetia","Gemmatales","Gemmataceae","Unassign","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_395",195,"MAG_395","Planctomycetota",0.026729,"M1","Phycisphaerae","Phycisphaerales","SM1A02","CAADGA01","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_529",248,"MAG_529","Planctomycetota",0.046343,"M48","Phycisphaerae","Tepidisphaerales","Unassign","Unassign","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_580",269,"MAG_580","Planctomycetota",0.056474,"M48","Phycisphaerae","Tepidisphaerales","Unassign","Unassign","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_520",242,"MAG_520","Planctomycetota",0.035701,"M1","Phycisphaerae","UBA1845","Fen-1342","JACRLV01","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_339",163,"MAG_339","Planctomycetota",0.18115,"M1","B15-G4","B15-G4","B15-G4","Unassign","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_291",136,"MAG_291","Planctomycetota",0.79268,"M56","Planctomycetia","Gemmatales","Gemmataceae","Unassign","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_390",190,"MAG_390","Planctomycetota",0.192023,"M1","UBA1135","UBA2386","UBA2386","Unassign","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_545",255,"MAG_545","Planctomycetota",0.018183,"M1","UBA1135","UBA1135","GCA-002686595","Unassign","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_394",194,"MAG_394","Planctomycetota",0.256072,"M10","Phycisphaerae","Phycisphaerae","SM1A02","CAADGA01","Unassign","RS sig","RS","Y","#FFF2AE"
"Planctomycetota","MAG_542",254,"MAG_542","Planctomycetota",0.227899,"M13","Phycisphaerae","Tepidisphaerales","Unassign","Unassign","Unassign","RS sig","RS","Y","#FFF2AE"
"Proteobacteria","MAG_002",1,"MAG_002","Proteobacteria",0.060763,"M19","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Variovorax","Unassign","RP sig","RP","Y","#FBB4AE"
"Proteobacteria","MAG_172",82,"MAG_172","Proteobacteria",0.086961,"M11","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassign","Unassign","RP sig","RP","Y","#FBB4AE"
"Proteobacteria","MAG_091",43,"MAG_091","Proteobacteria",0.094086,"M11","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas_H","Unassign","RP sig","RP","Y","#FBB4AE"
"Proteobacteria","MAG_093",44,"MAG_093","Proteobacteria",0.020534,"M2","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter calcoaceticus","RP sig","RP","Y","#FBB4AE"
"Proteobacteria","MAG_094",45,"MAG_094","Proteobacteria",0.026564,"M15","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens","RP sig","RP","Y","#FBB4AE"
"Proteobacteria","MAG_097",46,"MAG_097","Proteobacteria",0.097508,"M60","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","Unassign","RP sig","RP","Y","#FBB4AE"
"Proteobacteria","MAG_180",87,"MAG_180","Proteobacteria",0.188897,"M6","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti_A","RP sig","RP","Y","#FBB4AE"
"Proteobacteria","MAG_100",48,"MAG_100","Proteobacteria",0.075036,"M19","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Variovorax","Unassign","RP sig","RP","Y","#FBB4AE"
"Proteobacteria","MAG_024",9,"MAG_024","Proteobacteria",0.191246,"M33","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Unassign","RP sig","RP","Y","#FBB4AE"
"Proteobacteria","MAG_186",90,"MAG_186","Proteobacteria",0.12844,"M6","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti_A","RP sig","RP","Y","#FBB4AE"
"Proteobacteria","MAG_187",91,"MAG_187","Proteobacteria",0.041027,"M15","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens","RP sig","RP","Y","#FBB4AE"
