"phenotype","name","coefficient","p_value","p_adj"
"FNL","GH70",-41.4336564132971,0.403855185513945,0.710563075543435
"FNL","GH71",10.6063064474377,0.0414808652380617,0.460456801185659
"FNL","GH73",-0.335786687745412,0.959873453029807,0.988449198446836
"FNL","GH74",9.68676720347954,0.23275526246808,0.630532774516704
"FNL","GH75",7.54071533992645,0.110082637488833,0.505190418892659
"FNL","GH76",2.67953989837516,0.717391125323766,0.910544122523571
"FNL","GH77",19.0633420223122,0.267674798351424,0.66156436964971
"FNL","GH78",-1.01085059320451,0.927492823352189,0.983180798253252
"FNL","GH79",-5.00048420465848,0.263083383544477,0.660826892703398
"FNL","GH8",-11.5167725075069,0.125107303040321,0.51261200943101
"FNL","GH81",6.74427169740227,0.0169817209240269,0.404471970898946
"FNL","GH84",11.6381042008241,0.0212679736971618,0.404471970898946
"FNL","GH85",-5.23207548181707,0.346584258363338,0.66439804509407
"FNL","GH87",-3.89014431544657,0.551025973173891,0.81539103544807
"FNL","GH88",-10.5953110467803,0.121586771744753,0.512371944803411
"FNL","GH89",-4.52408080182836,0.377793697265509,0.684029347974091
"FNL","GH9",-6.31008294634733,0.346387385713723,0.66439804509407
"FNL","GH91",6.60230332749761,0.0119503741639956,0.38241197324786
"FNL","GH92",-6.83223558477247,0.373680176081746,0.684029347974091
"FNL","GH93",-2.48658844460447,0.57833957298269,0.831900736426547
"FNL","GH94",-3.0437320599159,0.73743939510101,0.920899927540774
"FNL","GH95",-6.26131096125668,0.328004100944438,0.66156436964971
"FNL","GH97",-7.33694151310047,0.27228561787484,0.66156436964971
"FNL","GH98",1.24934798150029,0.601458768924344,0.850682015716199
"FNL","GH99",-1.00446060168832,0.88401070798252,0.965060730249574
"FNL","GT1",0.257563030571976,0.981392093554344,0.989119590353985
"FNL","GT10",-4.49339935848107,0.416358875211502,0.717453170055519
"FNL","GT100",0.490837569791324,0.736140620402258,0.920899927540774
"FNL","GT101",1.73087186171462,0.75656296155226,0.932502730727425
"FNL","GT102",0.800259665435717,0.638461442406923,0.85692548137342
"FNL","GT103",-23.9571961241746,0.0056513745813483,0.318730045575416
"FNL","GT104",-0.398950486154438,0.914215672609731,0.983180798253252
"FNL","GT105",-6.36746980119013,0.325178843441637,0.66156436964971
"FNL","GT107",5.31498378721954,0.223671884092153,0.618194929583892
"FNL","GT108",2.42859015827877,0.176421572185588,0.572159504298233
"FNL","GT11",-5.15105196013365,0.282586015976757,0.66156436964971
"FNL","GT111",5.5836535995747,0.424359560884873,0.724240317243516
"FNL","GT112",2.64863700559986,0.00873265961073092,0.318730045575416
"FNL","GT113",-8.48720729697382,0.152682203072339,0.535433479267379
"FNL","GT114",-3.28638017998738,0.168395827869147,0.565553528265791
"FNL","GT12",7.43191229383317,0.668692127821352,0.8667604289735
"FNL","GT14",-1.1635846400093,0.83276121255378,0.945396321125355
"FNL","GT17",1.61037183585596,0.293290994791343,0.66156436964971
"FNL","GT19",-8.44746044944658,0.503068464502629,0.783540693731153
"FNL","GT2",23.5883888214099,0.0197432720795458,0.404471970898946
"FNL","GT20",7.92576335664333,0.347615775108887,0.66439804509407
"FNL","GT21",-2.27038334408298,0.766313932380315,0.932502730727425
"FNL","GT22",0.393391417196065,0.929426383119324,0.983194851564243
"FNL","GT23",-20.4848575697317,0.380697128558957,0.684029347974091
"FNL","GT25",1.61403562179207,0.770814335084386,0.932502730727425
"FNL","GT26",4.20954688893348,0.335713671213589,0.66439804509407
"FNL","GT27",6.31342111574357,0.139470203584053,0.53111746111648
"FNL","GT28",7.7898844210562,0.470275592955541,0.769268701575838
"FNL","GT3",-1.76392730567887,0.634158947399814,0.85692548137342
"FNL","GT30",-4.95604127383728,0.641911730533132,0.85692548137342
"FNL","GT31",172.104778439202,0.306138945518756,0.66156436964971
"FNL","GT32",4.91043836766705,0.242731515493215,0.640210559013865
"FNL","GT33",14.3989453726,0.337763091650099,0.66439804509407
"FNL","GT34",119.459913501435,0.243830193374421,0.640210559013865
"FNL","GT35",16.4865494470008,0.463484827717374,0.763646535824112
"FNL","GT39",14.0008929098952,0.0361500174629823,0.451456437599278
"FNL","GT4",27.9653466035088,0.081321320126433,0.505190418892659
"FNL","GT41",-4.31238284914159,0.536222652873201,0.799379769538305
"FNL","GT42",1.17988235355502,0.907876254713303,0.982662819686838
"FNL","GT45",0.463218897266803,0.926325531126691,0.983180798253252
"FNL","GT47",2.39747027779727,0.539234791038809,0.800255689889479
"FNL","GT5",14.8620996585037,0.451800778158173,0.754837300450677
"FNL","GT51",31.4748509992583,0.0610195686391453,0.505190418892659
"FNL","GT52",1.5970175281371,0.65262164252366,0.858977586046565
"FNL","GT53",1.76654307890027,0.647715158772487,0.85692548137342
"FNL","GT55",-9.95022681369139,0.142861504178636,0.533905767441325
"FNL","GT56",0.804269669790596,0.526521426165391,0.792773250748377
"FNL","GT6",9.56756134162451,0.392589872974748,0.695522543124813
"FNL","GT60",-0.650239812308841,0.870669267049657,0.962813530733098
"FNL","GT61",4.86366677107421,0.205276780856621,0.60752434565659
"FNL","GT62",10.8192154281344,0.110120865555152,0.505190418892659
"FNL","GT66",-8.34540189797111,0.273903327054186,0.66156436964971
"FNL","GT7",-2.30579964437802,0.65800624396161,0.86106905546786
"FNL","GT70",-5.48864232828039,0.295591463227757,0.66156436964971
"FNL","GT71",5.29928355932661,0.578430980796583,0.831900736426547
"FNL","GT73",2.57467940772192,0.218734667841456,0.615997812993604
"FNL","GT74",3.37139598210866,0.598919054855523,0.849951058069342
"FNL","GT75",-1.84269036579947,0.917201470265541,0.983180798253252
"FNL","GT76",7.44754268463364,0.350366156592576,0.66439804509407
"FNL","GT78",74.7377413900694,0.32319262647842,0.66156436964971
