KO,L1,level1,L2,level2,L3,pathway,Description
K00260,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00220,Arginine biosynthesis [PATH:ko00220],glutamate dehydrogenase  [EC:1.4.1.2] 
K00260,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",glutamate dehydrogenase  [EC:1.4.1.2] 
K00260,l1_09100,Metabolism,l1_09102,Energy metabolism,map00910,Nitrogen metabolism [PATH:ko00910],glutamate dehydrogenase  [EC:1.4.1.2] 
K00260,l1_09100,Metabolism,l1_09106,Metabolism of other amino acids,map00430,Taurine and hypotaurine metabolism [PATH:ko00430],glutamate dehydrogenase  [EC:1.4.1.2] 
K00261,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",glutamate dehydrogenase (NAD(P)+)  [EC:1.4.1.3] 
K00261,l1_09140,Cellular Processes,l1_09143,Cell growth and death,map04217,Necroptosis [PATH:ko04217],glutamate dehydrogenase (NAD(P)+)  [EC:1.4.1.3] 
K00261,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00220,Arginine biosynthesis [PATH:ko00220],glutamate dehydrogenase (NAD(P)+)  [EC:1.4.1.3] 
K00261,l1_09100,Metabolism,l1_09102,Energy metabolism,map00910,Nitrogen metabolism [PATH:ko00910],glutamate dehydrogenase (NAD(P)+)  [EC:1.4.1.3] 
K00262,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",glutamate dehydrogenase (NADP+)  [EC:1.4.1.4] 
K00262,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00220,Arginine biosynthesis [PATH:ko00220],glutamate dehydrogenase (NADP+)  [EC:1.4.1.4] 
K00262,l1_09100,Metabolism,l1_09102,Energy metabolism,map00910,Nitrogen metabolism [PATH:ko00910],glutamate dehydrogenase (NADP+)  [EC:1.4.1.4] 
K00263,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",leucine dehydrogenase  [EC:1.4.1.9] 
K00263,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00290,"Valine, leucine and isoleucine biosynthesis [PATH:ko00290]",leucine dehydrogenase  [EC:1.4.1.9] 
K00264,l1_09100,Metabolism,l1_09102,Energy metabolism,map00910,Nitrogen metabolism [PATH:ko00910],glutamate synthase (NADH)  [EC:1.4.1.14] 
K00264,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",glutamate synthase (NADH)  [EC:1.4.1.14] 
K00265,l1_09100,Metabolism,l1_09102,Energy metabolism,map00910,Nitrogen metabolism [PATH:ko00910],glutamate synthase (NADPH) large chain  [EC:1.4.1.13] 
K00265,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",glutamate synthase (NADPH) large chain  [EC:1.4.1.13] 
K00266,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",glutamate synthase (NADPH) small chain  [EC:1.4.1.13] 
K00266,l1_09100,Metabolism,l1_09102,Energy metabolism,map00910,Nitrogen metabolism [PATH:ko00910],glutamate synthase (NADPH) small chain  [EC:1.4.1.13] 
K00270,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]",phenylalanine dehydrogenase  [EC:1.4.1.20] 
K00270,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00360,Phenylalanine metabolism [PATH:ko00360],phenylalanine dehydrogenase  [EC:1.4.1.20] 
K00270,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00350,Tyrosine metabolism [PATH:ko00350],phenylalanine dehydrogenase  [EC:1.4.1.20] 
K00271,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00280,"Valine, leucine and isoleucine degradation [PATH:ko00280]",valine dehydrogenase (NAD+)  [EC:1.4.1.23] 
K00272,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00250,"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",D-aspartate oxidase  [EC:1.4.3.1] 
K00272,l1_09140,Cellular Processes,l1_09141,Transport and catabolism,map04146,Peroxisome [PATH:ko04146],D-aspartate oxidase  [EC:1.4.3.1] 
K00272,l1_09100,Metabolism,l1_09106,Metabolism of other amino acids,map00470,D-Amino acid metabolism [PATH:ko00470],D-aspartate oxidase  [EC:1.4.3.1] 
K00273,l1_09100,Metabolism,l1_09106,Metabolism of other amino acids,map00470,D-Amino acid metabolism [PATH:ko00470],D-amino-acid oxidase  [EC:1.4.3.3] 
K00273,l1_09100,Metabolism,l1_09110,Biosynthesis of other secondary metabolites,map00311,Penicillin and cephalosporin biosynthesis [PATH:ko00311],D-amino-acid oxidase  [EC:1.4.3.3] 
K00273,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]",D-amino-acid oxidase  [EC:1.4.3.3] 
K00273,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00330,Arginine and proline metabolism [PATH:ko00330],D-amino-acid oxidase  [EC:1.4.3.3] 
K00273,l1_09140,Cellular Processes,l1_09141,Transport and catabolism,map04146,Peroxisome [PATH:ko04146],D-amino-acid oxidase  [EC:1.4.3.3] 
